music: resources/audio/music/Song3.wav
playerPos: 624 624
joe: 
pedaller: 
flower: 
592 624
608 624
624 624
640 624
656 624
672 624
688 624
704 624
720 624
736 624
752 624
768 624
784 624
800 624
816 624
832 624
848 624
864 624
880 624
896 624
912 624
928 624
944 624
960 624
976 624
992 624
1008 624
1024 624
1040 624
1056 624
1072 624
1088 624
1104 624
1120 624
1136 624
1152 624
1168 624
1184 624
1200 624
1216 624
1232 624
1248 624
1264 624
1280 624
1296 624
1312 624
1328 624
1344 624
1360 624
1376 624
1392 624
1408 624
1424 624
1440 624
1456 624
1472 624
1488 624
1504 624
1520 624
1536 624
1552 624
1568 624
1584 624
1600 624
1616 624
1632 624
1648 624
1664 624
1680 624
1696 624
1712 624
1728 624
1744 624
1760 624
1776 624
1792 624
1808 624
1824 624
1840 624
1856 624
1872 624
1888 624
1904 624
1920 624
1936 624
1952 624
1968 624
1984 624
2000 624
2016 624
2032 624
2048 624
2064 624
2080 624
2096 624
2112 624
2128 624
2144 624
2160 624
2176 624
2192 624
2208 624
2224 624
2240 624
2256 624
2272 624
2288 624
2304 624
2320 624
2336 624
2352 624
2368 624
2384 624
2400 624
2416 624
2432 624
2448 624
2464 624
2480 624
2496 624
2512 624
2528 624
2544 624
2560 624
2576 624
2592 624
2608 624
2624 624
2640 624
2656 624
2672 624
2688 624
2704 624
2720 624
2736 624
2752 624
2768 624
2784 624
2800 624
2816 624
2832 624
2848 624
2864 624
2880 624
2896 624
2912 624
2928 624
2944 624
2960 624
2976 624
2992 624
3008 624
3024 624
3040 624
3056 624
3072 624
3088 624
3104 624
3120 624
3136 624
3152 624
3168 624
3184 624
3200 624
3216 624
3232 624
3248 624
3264 624
3280 624
3296 624
3312 624
3328 624
3344 624
3360 624
3376 624
3392 624
3408 624
3424 624
3440 624
3456 624
3472 624
3488 624
3504 624
3520 624
3536 624
3552 624
3568 624
3584 624
3600 624
3616 624
3632 624
3648 624
3664 624
3680 624
3696 624
3712 624
3728 624
3744 624
3760 624
3776 624
3792 624
3808 624
3824 624
3840 624
3856 624
3872 624
3888 624
3904 624
3920 624
3936 624
3952 624
3968 624
3984 624
coin: 
528 592
544 592
528 608
544 608
text: 
832 592 0
1104 592 0
1152 592 0
1200 592 0
1264 592 0
1728 592 0
1872 592 0
2192 592 0
2784 592 0
2848 592 0
3408 592 0
2832 592 1
3360 592 1
704 592 2
1392 592 2
1520 592 2
2864 592 2
3776 592 2
3920 592 2
1312 592 3
1904 592 3
2528 592 3
2672 592 3
3712 592 3
720 592 4
912 592 4
1024 592 4
1056 592 4
1296 592 4
1600 592 4
2256 592 4
2448 592 4
2496 592 4
2512 592 4
2960 592 4
3040 592 4
3152 592 4
3248 592 4
3376 592 4
3568 592 4
1664 592 5
2624 592 5
1936 592 6
3488 592 6
3664 592 6
1008 592 7
2176 592 7
2240 592 7
2432 592 7
2704 592 7
2912 592 7
3024 592 7
3200 592 7
3504 592 7
880 592 8
1376 592 8
1504 592 8
2288 592 8
2640 592 8
2720 592 8
3296 592 8
3904 592 8
3072 592 9
1408 592 10
1536 592 10
2880 592 10
3792 592 10
3936 592 10
1824 592 11
1840 592 11
2000 592 11
2336 592 11
3312 592 11
3328 592 11
3744 592 11
896 592 12
1184 592 12
1280 592 12
2944 592 12
3232 592 12
688 592 13
800 592 13
1216 592 13
1248 592 13
1616 592 13
1888 592 13
2096 592 13
2480 592 13
2656 592 13
3136 592 13
3552 592 13
672 592 14
784 592 14
1680 592 14
1808 592 14
1952 592 14
2016 592 14
2112 592 14
2352 592 14
2592 592 14
2928 592 14
3088 592 14
3216 592 14
3456 592 14
3536 592 14
3632 592 14
3680 592 14
3696 592 14
3840 592 14
768 592 15
1040 592 17
1696 592 17
1792 592 17
3120 592 17
1120 592 18
1344 592 18
1472 592 18
1760 592 18
2032 592 18
2304 592 18
2368 592 18
2544 592 18
2736 592 18
3616 592 18
3872 592 18
864 592 19
992 592 19
1360 592 19
1488 592 19
1632 592 19
1776 592 19
1968 592 19
2048 592 19
2160 592 19
2208 592 19
2384 592 19
2576 592 19
3008 592 19
3440 592 19
3824 592 19
3888 592 19
752 592 20
3104 592 20
3472 592 20
3760 592 20
1088 592 22
1584 592 22
2128 592 22
2768 592 22
3280 592 22
1424 592 24
1552 592 24
2800 592 24
3168 592 24
3952 592 24
2400 592 37
3584 592 37
2976 592 41
3968 592 41
928 592 38
944 592 38
960 592 38
1440 592 38
2064 592 38
fakeDirt: 
512 576
528 576
544 576
560 576
512 592
528 592
544 592
560 592
512 608
528 608
544 608
560 608
512 624
528 624
544 624
560 624
fakeRightDirt: 
576 576
576 592
score: tempScore
movingPlatform: 
